# galaxy bin_orb_a mass_final chi_eff spin_final spin_angle_final mass_1 mass_2 spin_1 spin_2 spin_angle_1 spin_angle_2 gen_1 gen_2 time_merged
0.000000000000000000e+00 3.073356642220037611e+04 4.641302257942726328e+01 -6.918283691964133286e-02 4.758143704187749456e-01 0.000000000000000000e+00 1.047099846497109610e+01 3.752767291624221713e+01 -1.195205358968016163e-01 -5.847673677376610812e-02 2.715866437555083834e+00 3.030200000000000227e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.600000000000000000e+05
0.000000000000000000e+00 2.293124947390022135e+04 3.672957465057253756e+01 -1.443250826153760942e-02 6.459698618677556237e-01 0.000000000000000000e+00 1.416852487973685015e+01 2.435190876817238248e+01 1.673504301158807925e-02 -1.802101292249411180e-02 2.191336548485904423e+00 2.832675004271900665e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.400000000000000000e+05
0.000000000000000000e+00 1.139184110174530542e+04 2.804062005177755168e+01 -1.010374594404760545e-01 6.117743471862039373e-01 0.000000000000000000e+00 1.141802447245955143e+01 1.792023882523459832e+01 -1.275419290626966240e-01 -1.543662507594620870e-01 2.989706058087574725e+00 2.154588855102688605e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.400000000000000000e+05
0.000000000000000000e+00 1.302074093338971397e+04 2.665833000564657951e+01 1.709307026827372455e-02 6.871577741657644012e-01 0.000000000000000000e+00 1.268698869725382927e+01 1.537681154599213862e+01 3.029679037265287089e-02 1.206104077204922520e-02 3.086687576819586720e-01 9.123064505036546645e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.400000000000000000e+05
0.000000000000000000e+00 2.310225030827902810e+04 2.643395167957408631e+01 -1.062368548192772072e-02 6.580527195047626288e-01 0.000000000000000000e+00 1.036477880563734466e+01 1.734473877991803903e+01 -1.236151848797135272e-01 5.399171751258866059e-02 2.761347770593372442e+00 2.974371343064761697e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.500000000000000000e+05
0.000000000000000000e+00 9.989893902530309788e+03 3.978018566115928678e+01 4.073103069327134729e-01 8.204097921644890601e-01 0.000000000000000000e+00 1.373720165149056172e+01 2.813752725977012403e+01 -3.742622808740838497e-02 6.243743471862037708e-01 3.058120000000000172e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+05
0.000000000000000000e+00 4.504201927952498954e+04 3.199460736701188424e+01 -1.281190986812564929e-02 6.077082927890242736e-01 0.000000000000000000e+00 1.052498909956435824e+01 2.287886861895916724e+01 -9.896294050404400022e-02 -1.469839323211210094e-03 1.995487012645364988e+00 1.534928164763001979e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.100000000000000000e+05
0.000000000000000000e+00 1.532051636472017162e+04 2.159757918533792775e+01 -1.445760594557632742e-02 6.798406287567786421e-01 0.000000000000000000e+00 1.247601104057038768e+01 1.024038941103097855e+01 -3.713216135970937026e-02 1.642269606616309982e-02 2.484547705636109161e+00 1.340517316515263735e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.000000000000000000e+05
0.000000000000000000e+00 2.756413598641106000e+04 5.351649980060415857e+01 1.634642877993063709e-02 6.916864813821593794e-01 0.000000000000000000e+00 2.751125441038922403e+01 2.884711177894702416e+01 -2.417317920663135389e-02 5.905978488361568468e-02 2.612365786849676130e+00 4.997880143959042565e-01 1.000000000000000000e+00 1.000000000000000000e+00 7.300000000000000000e+05
0.000000000000000000e+00 2.434332233021967477e+04 2.441681194556720058e+01 -6.262822025119756109e-02 6.233223927560113120e-01 0.000000000000000000e+00 1.478392630468835378e+01 1.080255698648029572e+01 -2.797009253714414362e-02 -2.204478367050367316e-01 8.900984862637555395e-01 2.468944867834272916e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.200000000000000000e+05
